Index,Actors,Number of movies,Number of awards,Genres
1647,Bianca Kajlich,33,0,Action Adventure Comedy Horror Thriller 
1648,Eva Amurri-Martino,33,2,Comedy 
1649,Geraldine Hughes,33,0,Drama 
1650,Leila Arcieri,33,1,Action Adventure Thriller 
1651,Ryan McCluskey,33,0,Action Fiction Horror Science 
1652,Grace Jones,33,7,Action Adventure Comedy Fantasy Romance Thriller 
1653,Paul Sanchez,33,4,Adventure Drama 
1654,Annabelle Wallis,33,2,Horror 
1655,Franky G,33,2,Horror 
1656,Damon Wayans-Jr.,33,6,Comedy Romance 
1657,Sarah Peirse,33,9,Drama Fantasy 
1658,Jonathan Haagensen,33,4,Crime Drama 
1659,Catalina Sandino-Moreno,33,1,Drama Romance 
1660,Darwin Shaw,33,0,Drama 
1661,Courtney Taylor-Burness,33,1,Drama Mystery Thriller 
1662,Holly Marie-Combs,33,4,Drama War 
1663,Austin Butler,33,3,Adventure Comedy Family Fantasy Fiction Science 
1664,Lauren Ash,33,6,Comedy Drama Romance 
1665,Nazanin Boniadi,33,3,Drama 
1666,Alison Eastwood,33,2,Crime Drama Mystery Thriller 
1667,Verna Bloom,33,2,Comedy Western 
1668,Augustus Prew,33,0,Drama 
1669,Esther Williams,33,7,Comedy Music 
1670,Betty Hutton,33,1,Action Comedy Drama Music Romance Western 
1671,Leslie Howard,33,2,Drama Romance War 
1672,Randy Couture,33,0,Action Adventure Thriller 
1673,Susan Ward,33,1,Thriller 
1674,Sandra Hess,33,0,Action Fantasy Fiction Science 
1675,Reba McEntire,33,1,Action Horror 
1676,Jack Starrett,33,0,Action Adventure Thriller War 
1677,Dan Hicks,33,0,Comedy Fantasy Horror 
1678,Soren Fulton,33,4,Action Adventure Comedy Family Fantasy 
1679,Sun Chun,33,16,Action Adventure Drama History War 
1680,Rami Malek,34,1,Action Adventure Comedy Crime Drama Family Fantasy Thriller 
1681,Rebel Wilson,34,26,Adventure Comedy Family Fantasy Music Romance 
1682,Richard Ayoade,34,1,Comedy 
1683,De'Aundre Bonds,34,0,Drama 
1684,Megan Fox,34,28,Action Adventure Comedy Drama Fantasy Fiction Horror Romance Science Thriller Western 
1685,Eoin Macken,34,1,Horror Thriller 
1686,Katie Cassidy,34,5,Action Adventure Comedy Horror Romance Thriller 
1687,Eric Bana,34,21,Action Adventure Comedy Drama Fantasy Fiction History Romance Science Thriller War 
1688,Mark Rylance,34,1,Action Adventure Crime Drama Family Fantasy Thriller 
1689,Jonathan Breck,34,0,Horror Thriller 
1690,Rooney Mara,34,2,Adventure Crime Drama Family Fantasy Fiction Mystery Romance Science Thriller 
1691,Janette Scott,34,0,Comedy Drama Romance 
