Index,Actors,Number of movies,Number of awards,Genres
3061,Kim Basinger,57,1,Action Adventure Comedy Crime Drama Fantasy Fiction Mystery Romance Science Thriller 
3062,Teri Hatcher,57,1,Action Adventure Animation Comedy Family Thriller 
3063,Nick Cannon,57,32,Comedy Drama Music Romance 
3064,Hope Lange,57,1,Comedy Drama 
3065,Ike Barinholtz,57,2,Comedy 
3066,Daniella Alonso,57,0,Action Comedy Family 
3067,Franka Potente,57,17,Action Crime Drama Mystery Thriller 
3068,Dervla Kirwan,57,10,Drama Romance 
3069,John Simm,57,6,Comedy Drama 
3070,Paul Whitehouse,57,15,Animation Fantasy Music Romance 
3071,Sherri Shepherd,57,17,Action Comedy Crime 
3072,Sally Hawkins,57,2,Comedy Crime Drama Thriller 
3073,Peter Finch,57,1,Drama 
3074,Yvan Attal,57,11,Action Comedy Crime Thriller 
3075,Lewis Black,57,1,Animation Comedy Drama Family Romance Thriller 
3076,Jorma Taccone,57,1,Adventure Comedy Fiction Science 
3077,Malinda Williams,57,5,Comedy Drama Romance 
3078,Miko Hughes,57,10,Fantasy Horror Mystery Thriller 
3079,Mary Alice,57,1,Action Adventure Fiction Science Thriller 
3080,Chris Potter,57,2,Action Comedy Drama Family Thriller 
3081,Dondre Whitfield,57,7,Comedy Drama 
3082,Victor Mature,57,1,Drama History 
3083,Lake Bell,58,20,Action Animation Comedy Drama Family Romance Thriller 
3084,Viggo Mortensen,58,3,Action Adventure Crime Drama Fantasy Horror Mystery Thriller Western 
3085,Channing Tatum,58,78,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Music Romance Science Thriller War 
3086,Denzel Washington,58,2,Action Comedy Crime Drama Fiction History Mystery Romance Science Thriller War 
3087,Sung Kang,58,3,Action Crime Drama Thriller 
3088,Melissa McCarthy,58,2,Action Comedy Crime Fantasy 
3089,Jonathan Rhys-Meyers,58,1,Action Adventure Comedy Crime Drama History Romance Thriller War Western 
3090,Cheryl Campbell,58,4,Drama History 
3091,Emma Roberts,58,32,Adventure Comedy Crime Drama Family Fantasy Horror Mystery Romance 
3092,Ben Whishaw,58,1,Action Adventure Comedy Crime Drama Family Fantasy History Music Romance Thriller 
3093,Jon Seda,58,15,Action Adventure Drama Thriller 
3094,Evan Rachel-Wood,58,3,Comedy Crime Drama Fantasy History Romance 
3095,Jesse Plemons,58,2,Drama 
3096,Mia Kirshner,58,3,Action Comedy Drama Thriller 
3097,Michelle Yeoh,58,1,Action Adventure Drama Fiction Romance Science Thriller War 
3098,Burl Ives,58,1,Drama Romance 
3099,Jenna Elfman,58,1,Animation Comedy Family 
3100,Warren Christie,58,1,Fiction Horror Science Thriller 
3101,Lucy Cohu,58,3,Horror Thriller 
3102,Nick Stahl,58,10,Action Fiction Horror Mystery Science Thriller 
3103,Holliday Grainger,58,5,Action Drama History Thriller 
3104,Lucy Davis,58,0,Comedy Horror 
3105,Zac Efron,58,66,Comedy Drama Music Romance 
3106,Katee Sackhoff,58,11,Action Fiction Horror Science Thriller 
3107,Jorge Diaz,58,2,Horror Thriller 
3108,Julie Bowen,58,2,Comedy 
3109,Brittany Snow,58,19,Action Comedy Drama Family Music Romance Thriller 
3110,Eriq La-Salle,58,1,Horror Thriller 
3111,Matthew Perry,58,1,Comedy Crime Romance Thriller 
3112,Rebecca De-Mornay,58,7,Drama Romance 
3113,Liza Lapira,58,1,Crime Drama 
3114,Kevin McKidd,58,8,Action Adventure Animation Comedy Family Fantasy Romance War 
3115,Jaime King,58,5,Comedy Horror Mystery Romance 
3116,August Diehl,58,21,Action Mystery Thriller 
3117,James Donald,58,1,Adventure Drama History Thriller War 
3118,Nicole de-Boer,58,1,Fiction Mystery Science Thriller 
3119,Julianna Guill,58,1,Horror Thriller 
3120,Rani Mukerji,58,68,Drama Romance 
3121,Paul L.-Smith,58,0,Action Adventure Fantasy 
3122,Unax Ugalde,58,18,Action Drama Romance 
3123,Dan Fogler,58,5,Adventure Animation Comedy Drama Family Romance 
3124,Emily Osment,58,17,Comedy Drama Family Music Romance 
3125,Tracy Morgan,58,2,Action Adventure Comedy Crime Family Fantasy 
3126,Ed Gale,58,0,Comedy Fantasy Fiction Horror Science 
3127,Jaimz Woolvett,58,2,Western 
3128,George Chakiris,58,1,Crime Drama Music 
3129,S. Epatha-Merkerson,58,1,Drama 
3130,Stephen Spinella,58,1,Action Comedy Crime Fiction Science Thriller 
3131,Megan Ward,58,2,Comedy 
3132,Iggy Pop,58,1,Action Comedy Fantasy Fiction Science 
3133,George Peppard,58,1,Action Adventure Fiction Science 
3134,Denzil Smith,58,1,Drama Romance 
3135,Jonah Hill,59,2,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Romance Science 
3136,Cecile de-France,59,25,Action Adventure Comedy Drama Romance 
3137,Mark Webber,59,17,Comedy 
3138,Jemaine Clement,59,8,Adventure Comedy Family Fantasy 
3139,Bjork,59,1,Crime Drama Music 
3140,Ellie Kemper,59,2,Action Adventure Animation Comedy Crime Family Romance 
3141,Barbara Jefford,59,1,Drama Horror Mystery Thriller 
3142,Rob Morrow,59,3,Drama Fiction Mystery Science 
3143,Vera Farmiga,59,1,Action Crime Drama Fiction Horror Mystery Romance Science Thriller War 
3144,Mia Farrow,59,1,Adventure Animation Drama Family Fantasy Horror Mystery 
3145,Zachary Levi,59,20,Animation Comedy Crime Family Fantasy Music 
3146,Gary Schwartz,59,0,Adventure Drama 
3147,Bjork ,59,1,Crime Drama Music 
3148,Cherry Jones,59,2,Drama Fiction Mystery Science Thriller 
3149,Taye Diggs,59,28,Action Comedy Drama Fiction Horror Mystery Romance Science Thriller 
3150,Wendy Hiller,59,1,Drama History 
3151,Damian Chapa,59,0,Action Adventure Thriller 
3152,Nikolaj Coster-Waldau,59,2,Action Adventure Comedy Fantasy Fiction Horror Mystery Romance Science 
3153,Kate Nelligan,59,1,Drama Romance 
3154,Jim Parrack,59,6,Action Fiction Science 
3155,Amanda Detmer,59,0,Comedy Crime Drama Family Romance 
3156,Nicky Whelan,59,0,Action Comedy Fiction Science Thriller 
3157,R.D. Call,59,2,Action Adventure 
3158,Dustin Milligan,59,5,Horror Thriller 
3159,Burn Gorman,59,2,Action Adventure Fiction Science 
3160,Ben Shenkman,59,1,Comedy Fantasy Romance 
3161,Lauren Hutton,59,1,Comedy Drama 
3162,Jack Creley,59,0,Fiction Horror Mystery Science 
3163,Virginie Ledoyen,59,10,Adventure Drama Romance Thriller 
3164,Dorothy Lyman,59,3,Drama Romance 
3165,Willie Nelson,59,1,Action Adventure Comedy Crime 
3166,Felicity Huffman,59,1,Drama 
3167,Eminem ,59,1,Drama 
3168,Louise Lasser,59,1,Comedy 
3169,Christopher Judge,59,4,Adventure Fiction Science 
3170,Eddie Kaye-Thomas,59,1,Comedy Romance 
3171,Roberts Blossom,59,1,Crime Drama 
3172,Rex Harrison,59,1,Drama Family History Music Romance 
3173,Ricky Schroder,59,1,Comedy Drama 
3174,Linda Larkin,59,0,Adventure Animation Comedy Family Fantasy 
3175,Paul Henreid,59,2,Drama Romance 
3176,John Dullaghan,59,0,Action Drama Romance 
3177,Russell Crowe,60,1,Action Adventure Comedy Crime Drama Fantasy Fiction History Music Mystery Romance Science Thriller War Western 
3178,Corey Stoll,60,1,Action Adventure Comedy Drama Fiction Science 
3179,Jack Davenport,60,1,Action Adventure Comedy Fantasy Romance 
3180,Rachel Griffiths,60,1,Drama Family 
3181,Justin Theroux,60,1,Action Comedy Drama Mystery Thriller 
3182,Cliff Curtis,60,9,Action Adventure Comedy Crime Drama Family Fiction Romance Science Thriller 
3183,Miranda Otto,60,33,Action Adventure Drama Fiction Horror Mystery Science Thriller Western 
3184,Gael Garcia-Bernal,60,1,Drama Fiction Mystery Romance Science Thriller 
3185,Pablo-Cantillo,60,0,Action Crime Fiction Science Thriller 
3186,Richard Gere,60,1,Action Adventure Comedy Crime Drama Family Horror Music Mystery Romance Thriller 
3187,Elle Fanning,60,48,Action Adventure Animation Comedy Drama Family Fantasy Fiction Horror Mystery Romance Science Thriller 
3188,Ryan Phillippe,60,25,Action Adventure Comedy Crime Drama History Horror Music Mystery Romance Thriller War 
3189,Colin Farrell,60,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Horror Music Mystery Romance Science Thriller War Western 
3190,Adriana Barraza,60,1,Drama 
3191,Celso Bugallo,60,11,Drama 
3192,Juliane Köhler,60,10,Drama History War 
3193,Marie-Jos\u00e9e Croze,60,12,Comedy Crime Drama 
3194,50 Cent,60,27,Action Crime Drama Thriller 
3195,Ken Kirzinger,60,0,Horror 
3196,Brandon Routh,60,13,Action Adventure Comedy Fantasy Fiction Horror Mystery Science 
3197,Djimon Hounsou,60,2,Action Adventure Comedy Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller War 
3198,Sami Bouajila,60,8,Action Crime Drama Thriller 
3199,Skyler Gisondo,60,6,Comedy 
3200,Adam Bousdoukos,60,5,Comedy Drama 
3201,Michelle Trachtenberg,60,15,Action Comedy Crime Drama Family Horror Romance Thriller 
3202,Thekla Reuten,60,8,Comedy Crime Drama Thriller 
3203,Karen Gillan,60,26,Horror 
3204,Eduardo Noriega,60,15,Action Crime Mystery Thriller 
3205,Eddie Murphy,60,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Mystery Romance Science Thriller 
3206,Joey King,60,1,Action Comedy Drama Thriller 
3207,Joanne Dru,60,2,Western 
3208,Rosemary Harris,60,1,Action Adventure Fantasy 
3209,Melinda Dillon,60,2,Drama Fiction Science 
3210,Ilse Steppat,60,2,Action Adventure Thriller 
3211,Leonardo Cimino,60,0,Action Adventure Fiction Science 
3212,Essence Atkins,60,5,Comedy Horror 
3213,Eileen Ryan,60,0,Comedy Drama Romance 
3214,Michael Joiner,60,4,Drama 
3215,Jose Pablo-Cantillo,60,0,Action Crime Fiction Science Thriller 
3216,Kim Chan,60,0,Action Crime Mystery Thriller 
3217,Katy Perry,60,1,Documentary Music 
3218,Richard Lewis,60,3,Drama Romance 
3219,Tracey Ullman,60,1,Adventure Animation Family Fantasy Music Romance 
3220,Dylan McDermott,60,1,Crime Drama Mystery Thriller 
3221,Diora Baird,60,0,Comedy Romance 
3222,Gregory Peck,60,1,Adventure Crime Drama Horror Mystery Romance Thriller Western 
3223,Andrew Caldwell,60,0,Comedy 
3224,Anthony Edwards,60,1,Action Crime Drama Mystery Romance Thriller War 
3225,Lou Hirsch,60,0,Action Adventure Comedy Family Fantasy 
3226,Michael Currie,60,0,Fiction Horror Mystery Science 
3227,Donna Murphy,60,3,Animation Family 
3228,Wendy Makkena,60,1,Comedy Drama Family 
3229,Timothy Olyphant,61,2,Action Adventure Comedy Crime Drama Fiction Horror Mystery Science Thriller 
3230,Kiersten Warren,61,3,Comedy Fiction Science 
3231,Amy Adams,61,6,Action Adventure Comedy Crime Drama Family Fantasy Fiction History Music Mystery Romance Science 
3232,Mel Gibson,61,2,Action Adventure Animation Comedy Crime Documentary Drama Family Fiction History Mystery Romance Science Thriller War 
3233,Jennifer Garner,61,1,Action Comedy Drama Family Fantasy History Music Romance Thriller 
3234,Steve Harris,61,2,Action Adventure Drama Fiction Horror Science Thriller 
3235,Alistair McGowan,61,4,Comedy Romance 
3236,Zoe Saldana,61,77,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Music Mystery Romance Science Thriller 
3237,Michael Fassbender,61,2,Action Adventure Crime Drama Fantasy Fiction History Mystery Science Thriller War Western 
3238,Sarah Michelle-Gellar,61,1,Action Adventure Animation Comedy Drama Family Fantasy Fiction Horror Mystery Romance Science Thriller 
3239,Sarah Shahi,61,2,Action Comedy Crime Romance Thriller 
3240,Al Pacino,61,1,Action Adventure Comedy Crime Drama Horror Music Mystery Thriller 
3241,Reese Witherspoon,61,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Music Mystery Romance Science Thriller 
3242,Benicio del-Toro,61,1,Action Adventure Comedy Crime Drama History Mystery Romance Thriller 
3243,Eamonn Walker,61,4,Action Adventure Crime Drama History Thriller War 
3244,Claudia Karvan,61,39,Action Fantasy Fiction Horror Science Thriller 
3245,Tom Courtenay,61,2,Comedy Drama Romance 
3246,Mel Brooks,61,1,Animation Comedy Family Fiction Music Science 
3247,Sprague Grayden,61,1,Horror 
3248,Anna Camp,61,8,Comedy Music Romance 
3249,Lenn Kudrjawizki,61,4,Action Drama Thriller 
3250,Marc Fayolle,61,0,Crime Thriller 
3251,Jennifer Morrison,61,24,Action Drama Horror 
3252,Julia Nickson,61,2,Action Adventure Thriller War 
3253,Brady Coleman,61,0,Comedy Crime Drama 
3254,Enzo Cilenti,61,1,Fiction Mystery Science Thriller 
3255,Rudy Bond,61,0,Drama 
3256,Tessa Thompson,61,32,Drama 
3257,Eric Bogosian,61,3,Action Drama Thriller 
3258,Jennifer Love-Hewitt,61,1,Animation Comedy Drama Family Horror Mystery Romance Thriller 
3259,Joanna Gleason,61,0,Comedy 
3260,Jennifer Ulrich,61,0,Drama Thriller 
3261,Fredro Starr,61,0,Drama Family Music Romance 
3262,Darrin Henson,61,4,Drama Music 
3263,Andrew Scott,61,16,Drama Fiction Science Thriller 
3264,Michael DeLorenzo,61,8,Action Comedy Romance Thriller 
3265,Natasha Gregson-Wagner,61,1,Drama Romance 
3266,B\u00e9r\u00e9nice Bejo,61,1,Comedy Drama Romance 
3267,Betsy Palmer,61,2,Horror Thriller 
3268,Bill Tung,61,0,Action Comedy Crime Thriller 
3269,Kaley Cuoco,61,41,Animation Comedy Family 
3270,Karen Allen,61,15,Action Adventure 
3271,Olivia de-Havilland,61,2,Action Adventure Drama Romance War 
3272,Y\u014dji Matsuda,61,14,Adventure Animation Fantasy 
3273,Jodhi May,61,8,Action Adventure Drama History Romance 
3274,Robert Ri'chard,61,7,Drama 
3275,Kelli Williams,61,7,Comedy Drama 
3276,Rachel Blanchard,61,3,Action Crime Horror Thriller 
3277,Linus Roache,61,1,Action Fiction Science 
3278,Jacqueline McKenzie,61,20,Drama Family Foreign 
3279,Angus Sampson,61,6,Drama Horror Thriller 
3280,Busy Philipps,61,2,Comedy Romance 
3281,David Tomlinson,61,0,Comedy Family Fantasy 
3282,Gerard Butler,62,19,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Romance Science Thriller War 
3283,Charlize Theron,62,1,Action Adventure Comedy Crime Drama Fantasy Fiction History Horror Mystery Romance Science Thriller 
3284,Kevin Costner,62,2,Action Adventure Comedy Crime Drama Fantasy Fiction History Music Romance Science Thriller Western 
3285,Andre Braugher,62,2,Crime Drama Fantasy Fiction Horror Romance Science Thriller 
3286,Ruth White,62,1,Drama Fiction Romance Science 
3287,Marla Sokoloff,62,3,Comedy Drama Romance 
3288,Julia Roberts,62,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Horror Mystery Romance Science Thriller 
3289,Emily Watson,62,2,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Music Romance Science Thriller War 
3290,Elizabeth Perkins,62,2,Animation Comedy Drama Family Fantasy Horror Romance Thriller 
3291,Catherine Hicks,62,1,Comedy Drama Fantasy Horror Romance Thriller 
3292,Alex Kingston,62,8,Drama Romance 
3293,Kerry O'Malley,62,0,Horror Mystery Thriller 
3294,Heike Makatsch,62,17,Action Adventure Comedy Drama Fiction Romance Science Thriller 
3295,Richard Haydn,62,0,Drama Family Music Romance 
3296,Lena Olin,62,1,Action Adventure Comedy Crime Drama Horror Mystery Thriller 
3297,Yuki Amami,62,6,Animation Family 
3298,R\u00e9my Girard,62,19,Comedy Crime Drama Mystery War 
3299,Asia Argento,62,30,Action Adventure Horror Thriller 
3300,Dennis Dugan,62,5,Drama Horror 
3301,Vicellous Reon-Shannon,62,2,Drama 
3302,Lizzy Caplan,62,1,Action Adventure Comedy Drama Fiction Romance Science Thriller 
3303,Anne Consigny,62,6,Drama 
3304,Sarah Jessica-Parker,62,4,Adventure Animation Comedy Drama Family Fantasy Fiction History Romance Science Thriller 
3305,Flaminia Cinque,62,0,Action Comedy Fiction Romance Science 
3306,Julie Delpy,62,2,Action Comedy Crime Drama Romance Thriller 
3307,Anthony Heald,62,3,Action Adventure Crime Drama Fiction Horror Mystery Science Thriller 
3308,Rachel Ticotin,62,4,Action Adventure Crime Fiction Science Thriller 
3309,Candice Bergen,62,1,Action Comedy Crime Drama History Romance 
3310,Sid Caesar,62,2,Action Adventure Comedy Crime 
3311,Omar J.-Dorsey,62,1,Drama History 
3312,Neve Campbell,62,17,Comedy Crime Drama Fantasy Horror Music Mystery Thriller 
3313,Marin Ireland,62,1,Comedy Drama Romance 
3314,Christine Taylor,62,2,Adventure Animation Comedy Family 
3315,Virginia McKenna,62,1,Action Drama History 
3316,Carole Bouquet,62,3,Action Adventure Thriller 
3317,Julie Ferrier,62,1,Action Comedy Crime 
3318,Amidou,62,0,Action Adventure Thriller 
3319,Deborah Rush,62,0,Comedy Drama Romance 
3320,Leonard Roberts,62,1,Comedy Drama Music Romance 
3321,Angela Kinsey,62,16,Comedy 
3322,Tisha Campbell-Martin,62,13,Comedy Horror Music 
3323,Kenneth McMillan,62,0,Comedy Family Romance 
3324,Kate del-Castillo,62,11,Crime Thriller 
3325,Michael Chiklis,63,1,Action Adventure Crime Drama Fantasy Mystery Thriller 
3326,Brie Larson,63,1,Action Comedy Crime Drama Romance Thriller 
3327,Laz Alonso,63,3,Drama Music Thriller War 
3328,Malin Akerman,63,6,Action Comedy Crime Drama Fiction Mystery Romance Science Thriller 
3329,Michael Douglas,63,2,Action Adventure Comedy Crime Drama Fiction Mystery Romance Science Thriller 
3330,Kate Winslet,63,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Romance Science Thriller 
3331,Mandy Patinkin,63,3,Adventure Comedy Drama Family Fantasy Music Romance 
3332,Michael Kelly,63,4,Drama Fiction Science Thriller 
3333,Diego Luna,63,40,Action Adventure Animation Comedy Drama Family Fiction History Romance Science Thriller Western 
3334,Mark Addy,63,1,Action Adventure Comedy Drama Family Fantasy Fiction Horror Mystery Romance Science 
3335,Nick Frost,63,5,Action Adventure Animation Comedy Crime Drama Fiction Horror Mystery Science 
3336,Winona Ryder,63,2,Action Animation Comedy Crime Drama Fantasy Fiction Horror Romance Science Thriller 
3337,Chad Lindberg,63,0,Action Crime Drama History Horror Thriller War 
3338,Jim Carrey,63,2,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Mystery Romance Science Thriller 
3339,Holly Hunter,63,1,Action Adventure Animation Comedy Crime Drama Family Mystery Romance Thriller 
3340,Gillian Anderson,63,1,Action Adventure Comedy Crime Drama Fiction Mystery Romance Science Thriller 
3341,Alexander Skarsgård,63,1,Action Adventure Drama Fiction Romance Science Thriller 
3342,Patricia Arquette,63,1,Action Comedy Crime Drama History Horror Romance Thriller 
3343,Patrick McGoohan,63,2,Action Crime Drama History War 
3344,Demi Moore,63,2,Action Animation Comedy Crime Drama Family Fantasy History Mystery Romance Thriller 
3345,Peter Sarsgaard,63,1,Action Adventure Comedy Crime Drama Fiction History Horror Mystery Romance Science Thriller War 
3346,Rose McGowan,63,9,Action Comedy Crime Drama Horror Mystery 
3347,H\u00e9ctor Jim\u00e9nez,63,2,Comedy Family 
3348,Reiko Aylesworth,63,5,Action Fantasy Fiction Horror Science Thriller 
3349,Joan Dalmau,63,12,Drama 
3350,Robert Carlyle,63,1,Action Adventure Comedy Crime Drama Family Fantasy Fiction Horror Science Thriller 
3351,Sean Chapman,63,0,Horror 
3352,Kip Pardue,63,3,Action Comedy Romance 
3353,Alec Guinness,63,1,Action Adventure Drama Fiction History Romance Science War 
3354,Cleavon Little,63,1,Comedy Western 
3355,George Lazenby,63,1,Action Adventure Thriller 
3356,Richard Beymer,63,2,Action Crime Drama History Music War 
3357,Arletty,63,0,Action Drama History War 
3358,Kevin Smith,63,37,Adventure Animation Comedy Family 
3359,Gabriel Mann,63,1,Crime Drama Thriller 
3360,Ariadna Gil,63,29,Drama Fantasy War 
3361,Janet McTeer,63,2,Comedy Drama Romance 
3362,Diana Kent,63,0,Drama Fantasy 
3363,Marylouise Burke,63,0,Comedy Drama Romance 
3364,John Ales,63,0,Comedy Fantasy Fiction Romance Science 
3365,Dianne Wiest,63,2,Comedy Drama Family Fantasy Horror Music Romance 
3366,Arliss Howard,63,4,Drama Fantasy Romance 
3367,Marg Helgenberger,63,3,Drama 
3368,Michael Shanks,63,13,Adventure Fiction Science 
3369,Lyriq Bent,63,2,Crime Horror Thriller 
3370,Thomas Ian-Nicholas,63,10,Comedy Romance 
3371,Beatrice Straight,63,1,Horror 
3372,Scott Adkins,63,4,Action Adventure 
3373,Leo Fitzpatrick,63,0,Crime Drama 
3374,Doris Dowling,63,0,Drama 
3375,Peter Eyre,63,1,Fantasy 
3376,Arletty ,63,0,Action Drama History War 
3377,Michel Subor,63,0,Action Drama Mystery Thriller 
3378,Tommy Chong,63,5,Comedy Crime 
3379,Jessica Alba,64,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Horror Music Mystery Romance Science Thriller 
3380,Bradley Cooper,64,7,Action Adventure Comedy Crime Drama Fiction Horror Mystery Romance Science Thriller War 
3381,Alex Borstein,64,1,Action Comedy Drama History Romance Thriller 
3382,Pablo Schreiber,64,1,Action Drama History Thriller War 
3383,Ken Stott,64,7,Action Adventure Drama Fantasy Romance 
3384,Philip Seymour-Hoffman,64,1,Action Adventure Comedy Crime Drama History Mystery Romance Thriller 
3385,Jennifer Aniston,64,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction Music Romance Science Thriller 
3386,Geoffrey Rush,64,1,Action Adventure Comedy Crime Drama Fantasy Fiction History Horror Mystery Romance Science Thriller Western 
3387,Jay Baruchel,64,15,Action Adventure Animation Comedy Drama Family Fantasy Romance 
3388,Zachary Quinto,64,1,Action Adventure Drama Fiction Science Thriller 
3389,Josh Zuckerman,64,3,Adventure Comedy Romance 
3390,Oded Fehr,64,1,Action Adventure Comedy Fantasy Fiction Horror Science 
3391,Sam Robards,64,1,Action Adventure Drama Family Fiction Science 
3392,Kathleen Turner,64,1,Adventure Comedy Crime Drama Family Fantasy Fiction Horror Romance Science Thriller 
3393,Matt Dillon,64,1,Action Adventure Comedy Crime Drama Family Fantasy Mystery Romance Thriller 
3394,Alison Brie,64,2,Comedy Romance 
3395,Rena Owen,64,11,Action Adventure Fantasy 
3396,Maria Simon,64,13,Comedy Drama Romance 
3397,Alexander Scheer,64,5,Crime Drama History Thriller 
3398,Laura Harring,64,4,Action Crime Drama Mystery Thriller 
3399,Eliza Dushku,64,7,Comedy Crime Drama Horror Mystery Thriller 
3400,Cher ,64,1,Comedy Crime Drama Romance War 
3401,Jake Johnson,64,9,Comedy Drama Fiction Romance Science 
3402,Jon Bernthal,64,6,Action Comedy Crime Drama Mystery Thriller War 
3403,Ludivine Sagnier,64,19,Action Crime Drama Thriller War 
3404,Charlotte Gainsbourg,64,47,Drama Fiction Music Science 
3405,Salli Richardson-Whitfield,64,3,Action Comedy Crime Drama Fiction Horror Science Thriller 
3406,Elizabeth Berkley,64,9,Drama 
3407,Michael Angarano,64,1,Action Adventure Comedy Drama Family Fantasy Horror Thriller 
3408,Donovan Scott,64,0,Action Adventure Comedy Crime Fantasy Fiction Science 
3409,Theresa Russell,64,2,Crime Drama Mystery 
3410,\u00d3scar Jaenada,64,24,Drama Horror Thriller 
3411,Frank McRae,64,0,Action Adventure Comedy Family Fantasy 
3412,Sienna Guillory,64,2,Action Adventure Family Fantasy Fiction Horror Science 
3413,Mehmet Ferda,64,16,Action Crime Drama Thriller War 
3414,Laura Harris,64,5,Fiction Horror Mystery Science 
3415,Noah Segan,64,6,Action Fiction Science Thriller 
3416,Dylan Walsh,64,1,Action Adventure Drama Fiction Mystery Science 
3417,Alicia Silverstone,64,1,Action Comedy Crime Fantasy Romance 
3418,Sissy Spacek,64,1,Comedy Drama Music Romance 
3419,Mari Morrow,64,0,Action Comedy Crime 
3420,Brianna Brown,64,7,Drama Romance 
3421,Jake Roberts,64,0,Documentary 
3422,Justin Bieber,64,102,Documentary Family Music 
3423,Miley Cyrus,64,1,Adventure Animation Comedy Documentary Drama Family Music Romance 
3424,George Harrison,64,1,Comedy Music 
3425,Cristina Brondo,64,4,Comedy Drama Romance 
3426,Cher,64,1,Action Adventure Animation Comedy Crime Drama Family Fantasy Fiction History Mystery Romance Science Thriller War 
3427,Robert Rusler,64,0,Horror 
3428,Todd Barry,64,0,Drama Romance 
3429,George Lopez,64,32,Action Adventure Comedy Family 
3430,Vince Colosimo,64,13,Drama Family Foreign 
3431,Lenny Kravitz,64,23,Drama 
3432,Shohreh Aghdashloo,64,1,Drama Mystery Romance 
3433,James Keach,64,12,History Western 
3434,Tony Roberts,64,0,Comedy Drama Romance 
3435,Jon Finch,64,0,Crime Drama Mystery Thriller 
3436,Irene Bedard,64,1,Adventure Animation Drama Family 
3437,Kate Mara,65,1,Action Adventure Comedy Crime Drama Fiction Mystery Romance Science Thriller 
3438,Kyle Gallner,65,4,Action Horror Thriller War 
3439,Kyla Pratt,65,10,Action Comedy Drama Family Fantasy Romance 
3440,Nia Long,65,20,Action Adventure Comedy Crime Drama Family Horror Mystery Romance Thriller 
3441,Deborah Kara-Unger,65,12,Action Drama Fantasy Fiction Horror Mystery Science Thriller 
3442,Ralph Garman,65,1,Comedy Horror 
3443,Dominic West,65,2,Action Adventure Comedy Crime Drama Horror Music Thriller War 
3444,Thierry Neuvic,65,1,Drama Fantasy 
3445,Dakota Fanning,65,46,Action Adventure Animation Crime Drama Family Fiction Horror Music Mystery Science Thriller 
3446,Jennifer Esposito,65,7,Drama Horror Thriller 
3447,Michelle Pfeiffer,65,3,Action Adventure Animation Comedy Crime Drama Family Fantasy Horror Music Mystery Romance Thriller 
3448,Tamanna Bhatia,65,12,Action Adventure History War 
3449,LL Cool-J,65,4,Action Adventure Comedy Crime Drama Fiction Mystery Science Thriller 
3450,Michael Wincott,65,1,Action Adventure Animation Crime Family Fantasy Fiction Horror Mystery Science Thriller 
3451,Temuera Morrison,65,8,Action Adventure Comedy Romance Thriller 
3452,Kevin Rahm,65,1,Crime Drama Thriller 
3453,John Ortiz,65,12,Action Fantasy Fiction Horror Music Science Thriller 
3454,Geoffrey Arend,65,1,Comedy Crime Drama Mystery Romance 
3455,Paul Herman,65,6,Drama Music Romance 
3456,Vincent Gallo,65,23,Crime Drama 
3457,Benjamin Bratt,65,1,Action Animation Comedy Crime Drama Family Fiction History Mystery Romance Science Thriller War 
3458,Halina Reijn,65,11,Drama Thriller War 
3459,Scottie Thompson,65,1,Drama Fiction Music Science 
3460,Leon Rippy,65,1,Action Adventure Crime Drama 
3461,Chris Messina,65,16,Comedy Drama Horror Mystery Romance Thriller 
3462,Albert Finney,65,5,Adventure Comedy Drama Fantasy History Romance 
3463,Robert Shaw,65,1,Action Adventure Comedy Crime Drama History Horror Thriller War 
3464,Tsai Chin,65,0,Drama History Romance 
3465,Julie Ann-Emery,65,1,Comedy Drama Romance 
3466,Jake Weber,65,3,Action Fantasy Horror 
3467,Kevin Chamberlin,65,0,Crime Thriller 
3468,Edie Falco,65,2,Drama Thriller 
3469,Andrea Eckert,65,1,Drama Romance 
3470,Luenell ,65,1,Comedy 
3471,Richard Norton,65,3,Action Comedy Crime 
3472,Catherine Schell,65,1,Comedy 
3473,Alexie Gilmore,65,1,Comedy Romance 
3474,Jason O'Mara,65,3,Action Comedy Crime 
3475,Farrah Fawcett,65,6,Action Adventure Fiction Romance Science 
3476,Gloria Grahame,65,1,Action Drama Romance 
3477,Robert Goulet,65,2,Comedy Crime 
3478,Deborah Odell,65,0,Adventure Comedy Family Fantasy 
3479,Maureen O'Hara,65,11,Drama 
3480,Errol Flynn,65,6,Action Adventure Drama War 
